country,state,city,station_name,timestamp,lat,lon,pollutant,min_value,max_value,value,fetch_time
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",06-04-2026 16:00:00,17.544899,78.486949,NO2,11,15,12.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",06-04-2026 16:00:00,17.528544,78.286195,NO2,15,33,19.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",06-04-2026 16:00:00,17.417094,78.457437,NO2,12,16,13.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",06-04-2026 16:00:00,17.585705,78.126199,NO2,15,18,16.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",06-04-2026 16:00:00,17.429398,78.569354,NO2,14,14,14.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",06-04-2026 16:00:00,17.349694,78.451437,NO2,1,13,7.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",06-04-2026 16:00:00,17.460103,78.334361,NO2,16,34,26.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",06-04-2026 16:00:00,17.470431,78.566959,NO2,19,43,31.0,2026-04-06T17:11:18.424117
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",06-04-2026 16:00:00,17.4559458,78.4332152,NO2,7,38,22.0,2026-04-06T17:11:18.424117
