country,state,city,station_name,timestamp,lat,lon,pollutant,min_value,max_value,value,fetch_time
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",10-04-2026 10:00:00,17.417094,78.457437,NO2,15,17,16.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB",10-04-2026 10:00:00,17.460103,78.334361,NO2,17,72,37.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",10-04-2026 10:00:00,17.585705,78.126199,NO2,15,17,17.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",10-04-2026 10:00:00,17.544899,78.486949,NO2,15,16,16.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",10-04-2026 10:00:00,17.429398,78.569354,NO2,9,17,11.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",10-04-2026 10:00:00,17.470431,78.566959,NO2,22,46,33.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",10-04-2026 10:00:00,17.528544,78.286195,NO2,12,17,14.0,2026-04-10T10:51:54.261743
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",10-04-2026 10:00:00,17.4559458,78.4332152,NO2,9,29,19.0,2026-04-10T10:51:54.261743
